App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5954691,HDR,11/12/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951285,HDR,09/19/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5947975,HDR,07/31/2019,Denied,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949695,HDR,08/26/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949785,HDR,08/27/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5948630,HDR,08/12/2019,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954264,HDR,11/04/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952467,HDR,10/08/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954980,HDR,11/15/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954972,HDR,11/15/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950341,HDR,09/09/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952329,HDR,10/04/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952319,HDR,10/04/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953534,HDR,10/23/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5950500,HDR,09/09/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949712,HDR,08/26/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Not Applicable,11/20/2019 05:00:03 PM
5955084,HDR,11/18/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953200,HDR,10/18/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5952804,HDR,10/12/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5955278,HDR,11/20/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950722,HDR,09/12/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954951,HDR,11/15/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954225,HDR,11/01/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5948816,HDR,08/14/2019,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949640,HDR,08/24/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5952163,HDR,10/02/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5951988,HDR,09/30/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953549,HDR,10/23/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5954239,HDR,11/02/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5955186,HDR,11/20/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954446,HDR,11/06/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5952188,HDR,10/02/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952671,HDR,10/10/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5955125,HDR,11/18/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952861,HDR,10/14/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949618,HDR,08/23/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954874,HDR,11/14/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954210,HDR,11/01/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951366,HDR,09/20/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952510,HDR,10/09/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949721,HDR,08/27/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954630,HDR,11/10/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952111,HDR,10/01/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951405,HDR,09/22/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5949359,HDR,08/20/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950974,HDR,09/16/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954165,HDR,10/31/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954510,HDR,11/07/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Complete,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5948470,HDR,08/08/2019,Denied,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5955201,HDR,11/20/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952347,HDR,10/05/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5951105,HDR,09/17/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5951073,HDR,09/17/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5952419,HDR,10/07/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950628,HDR,09/11/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5955268,HDR,11/20/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949525,HDR,08/22/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5954523,HDR,11/07/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954459,HDR,11/06/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5952876,HDR,10/15/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5952790,HDR,10/11/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5948290,HDR,08/06/2019,Pending Fitness Interview,11/12/2019,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953383,HDR,10/21/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953030,HDR,10/16/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953026,HDR,10/16/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952664,HDR,10/10/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5952430,HDR,10/07/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5951693,HDR,09/25/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5950082,HDR,09/03/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953802,HDR,10/25/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952127,HDR,10/02/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949672,HDR,08/26/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5835813,HDR,11/29/2017,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints & other items needed. Visit www.nyc.gov/tlcup,11/20/2019 05:00:03 PM
5951270,HDR,09/19/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953930,HDR,10/28/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954315,HDR,11/04/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954911,HDR,11/14/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5950195,HDR,09/05/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954957,HDR,11/15/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5949808,HDR,08/28/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954317,HDR,11/04/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5948270,HDR,08/05/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954330,HDR,11/04/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954953,HDR,11/15/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5950535,HDR,09/10/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954324,HDR,11/04/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951912,HDR,09/28/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954255,HDR,11/03/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951115,HDR,09/17/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954371,HDR,11/06/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5952618,HDR,10/10/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5948393,HDR,08/07/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953031,HDR,10/16/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953232,HDR,10/18/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953674,HDR,10/24/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5950115,HDR,09/04/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954235,HDR,11/02/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951488,HDR,09/23/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952338,HDR,10/05/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950664,HDR,09/11/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Needed,Not Applicable,11/20/2019 05:00:03 PM
5954263,HDR,11/03/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954943,HDR,11/15/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953205,HDR,10/18/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952367,HDR,10/06/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5952838,HDR,10/14/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949115,HDR,08/16/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952169,HDR,10/02/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5953156,PDR,10/17/2019,Incomplete,Not Applicable,Not Applicable,Not Applicable,Complete,Not Applicable,Not Applicable,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5954945,HDR,11/15/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951945,HDR,09/30/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5948895,HDR,08/15/2019,Denied,Not Applicable,Complete,Needed,Needed,Complete,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953517,HDR,10/22/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,11/20/2019 05:00:03 PM
5954656,HDR,11/11/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953430,HDR,10/22/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952369,HDR,10/07/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5948138,HDR,08/04/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952756,HDR,10/11/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5951986,HDR,09/30/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949448,HDR,08/21/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5955133,HDR,11/19/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953475,HDR,10/22/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5953285,HDR,10/20/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5947870,HDR,07/30/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954846,HDR,11/14/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950006,HDR,09/01/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953073,HDR,10/16/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954332,HDR,11/04/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5951635,HDR,09/24/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949380,HDR,08/21/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5951932,HDR,09/29/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951507,HDR,09/23/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954624,HDR,11/10/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954388,HDR,11/06/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952786,HDR,10/11/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954355,HDR,11/05/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5955002,HDR,11/16/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5947987,HDR,07/31/2019,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951711,HDR,09/25/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,11/20/2019 05:00:03 PM
5953928,HDR,10/28/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953417,HDR,10/21/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5950647,HDR,09/11/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5948231,HDR,08/05/2019,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952425,HDR,10/07/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5950550,HDR,09/10/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5955274,HDR,11/20/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5950843,HDR,09/13/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5952259,HDR,10/03/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951049,HDR,09/16/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949280,HDR,08/19/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954917,HDR,11/15/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5955009,HDR,11/16/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5951036,HDR,09/16/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5948746,HDR,08/13/2019,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954383,HDR,11/06/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5949377,HDR,08/21/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5948554,HDR,08/09/2019,Denied,Not Applicable,Complete,Needed,Needed,Needed,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954458,HDR,11/06/2019,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951031,HDR,09/16/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953422,HDR,10/22/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5952164,HDR,10/02/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953535,HDR,10/23/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5955119,HDR,11/18/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5953694,HDR,10/25/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5951400,HDR,09/22/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,11/20/2019 05:00:03 PM
5952631,HDR,10/10/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5949780,HDR,08/27/2019,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,11/20/2019 05:00:03 PM
5953649,HDR,10/24/2019,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5953451,HDR,10/22/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954218,HDR,11/01/2019,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954280,HDR,11/04/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,11/20/2019 05:00:03 PM
5954664,HDR,11/12/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5949361,HDR,08/20/2019,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Needed,Copy of DMV license needed,11/20/2019 05:00:03 PM
5952610,HDR,10/09/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954677,HDR,11/12/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954644,HDR,11/11/2019,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953479,HDR,10/22/2019,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed,11/20/2019 05:00:03 PM
5954056,HDR,10/30/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5954815,HDR,11/13/2019,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,11/20/2019 05:00:03 PM
5954654,HDR,11/11/2019,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
5953079,HDR,10/16/2019,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,11/20/2019 05:00:03 PM
